Country,ActorName,ActorType,AffiliationTo,AffiliationStartDate,AffiliationEndDate,Aliases
Albania,Dylber Vrioni,Individual,Finance / Economy / Commerce / Trade Ministry (Albania),12/4/1994,7/11/1996,Dylber Vrioni
Albania,Edi Paloka,Individual,Assembly of the Republic of Albania,1/1/2009,EOT,E Paloka ; E. Paloka ; Edi Paloka
Albania,Edi Paloka,Individual,Democratic Party of Albania,BOT,EOT,E Paloka ; E. Paloka ; Edi Paloka
Albania,Edi Rama,Individual,Cabinet (Albania),BOT,EOT,E. Rama ; Edi Rama ; E Rama
Albania,Edi Rama,Individual,Executive Office (Albania),BOT,EOT,E. Rama ; Edi Rama ; E Rama
Albania,Edi Rama,Individual,"Ministry of Tourism, Cultural Affairs, Youth, and Sports",1/1/1998,9/30/2000,E. Rama ; Edi Rama ; E Rama
Albania,Edi Rama,Individual,Socialist Party of Albania,BOT,EOT,E. Rama ; Edi Rama ; E Rama
Albania,Edi Rama,Individual,Tirana,10/1/2000,7/1/2011,E. Rama ; Edi Rama ; E Rama
Albania,Edmond Haxhinasto,Individual,Elite (Albania),9/17/2010,EOT,Edmond Haxhinasto
Albania,Edmond Haxhinasto,Individual,Foreign Ministry (Albania),9/17/2010,6/27/2012,Edmond Haxhinasto
Albania,Edmond Panariti,Individual,Ministry of Foreign Affairs,6/27/2012,4/3/2013,Edmond Panariti
Albania,Eduard Halimi,Individual,Ministry of Justice,4/25/2011,9/14/2013,Eduard Halimi
Albania,Emin Barci,Individual,Socialist Party of Albania,BOT,EOT,E Barci ; Emin Barci ; E. Barci
Albania,Enkelejd Alibeaj,Individual,Elite (Albania),11/24/2007,EOT,Enkelejd Alibeaj
Albania,Enkelejd Alibeaj,Individual,Justice / Law Ministry (Albania),11/24/2007,9/17/2009,Enkelejd Alibeaj
Albania,Enver Halili,Individual,Elite (Albania),5/8/1990,EOT,Enver Halili
Albania,Enver Halili,Individual,Justice / Law Ministry (Albania),5/8/1990,2/22/1991,Enver Halili
